@RELATION all_data_pacman
	@ATTRIBUTE pacmanPosX NUMERIC
	@ATTRIBUTE pacmanPosY NUMERIC
	@ATTRIBUTE Ghost_1_PosX NUMERIC
	@ATTRIBUTE Ghost_1_PosY NUMERIC
	@ATTRIBUTE Ghost_2_PosX NUMERIC
	@ATTRIBUTE Ghost_2_PosY NUMERIC
	@ATTRIBUTE Ghost_3_PosX NUMERIC
	@ATTRIBUTE Ghost_3_PosY NUMERIC
	@ATTRIBUTE Ghost_4_PosX NUMERIC
	@ATTRIBUTE Ghost_4_PosY NUMERIC
	@ATTRIBUTE legalNorth NUMERIC
	@ATTRIBUTE legalSouth NUMERIC
	@ATTRIBUTE legalWest NUMERIC
	@ATTRIBUTE legalEast NUMERIC
	@ATTRIBUTE ghost_1_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_2_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_3_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_4_Directions {Stop, North, South, West, East, None}
	@ATTRIBUTE ghost_1_Distance NUMERIC
	@ATTRIBUTE ghost_2_Distance NUMERIC
	@ATTRIBUTE ghost_3_Distance NUMERIC
	@ATTRIBUTE ghost_4_Distance NUMERIC
	@ATTRIBUTE livingGhost_1 {True, False}
	@ATTRIBUTE livingGhost_2 {True, False}
	@ATTRIBUTE livingGhost_3 {True, False}
	@ATTRIBUTE livingGhost_4 {True, False}
	@ATTRIBUTE currentMove {Stop, North, South, West, East}

@data
1, 11, 6, 5, 6, 9, 8, 11, 14, 6, 0, 1, 0, 1, None, None, None, None, 11, 7, 7, 18, True, True, True, True, Stop
1, 11, 6, 4, 6, 9, 7, 11, 14, 6, 0, 1, 0, 1, South, Stop, West, North, 12, 7, 6, 17, True, True, True, True, Stop
2, 11, 7, 4, 6, 10, 7, 11, 14, 7, 0, 0, 1, 1, East, North, West, North, 12, 5, 5, 15, True, True, True, True, East
3, 11, 7, 3, 6, 11, 7, 11, 14, 8, 0, 0, 1, 1, South, North, West, West, 12, 3, 4, 13, True, True, True, True, East
4, 11, 7, 4, 6, 11, 6, 11, 13, 8, 0, 0, 1, 1, North, North, West, North, 10, 2, 2, 11, True, True, True, True, East
5, 11, 7, 5, 3, 1, 6, 11, 13, 9, 0, 1, 1, 1, North, Stop, West, East, 8, 1000, 1, 11, True, False, True, True, East
6, 11, 7, 4, 3, 1, 5, 1, 14, 9, 0, 1, 1, 1, South, Stop, Stop, West, 8, 1000, 1000, 9, True, False, False, True, East
7, 11, 7, 3, 3, 1, 5, 1, 13, 9, 0, 0, 1, 1, South, Stop, Stop, West, 8, 1000, 1000, 8, True, False, False, True, East
8, 11, 7, 3, 3, 1, 5, 1, 13, 9, 0, 0, 1, 1, South, Stop, Stop, East, 9, 1000, 1000, 8, True, False, False, True, East
9, 11, 8, 3, 3, 1, 5, 1, 14, 9, 0, 0, 1, 1, East, Stop, Stop, West, 9, 1000, 1000, 6, True, False, False, True, East
10, 11, 9, 3, 3, 1, 5, 1, 13, 9, 0, 1, 1, 1, East, Stop, Stop, West, 9, 1000, 1000, 5, True, False, False, True, East
10, 10, 9, 4, 3, 1, 5, 1, 13, 9, 1, 1, 0, 1, North, Stop, Stop, South, 7, 1000, 1000, 5, True, False, False, True, South
10, 9, 10, 4, 3, 1, 5, 1, 13, 8, 1, 1, 1, 1, East, Stop, Stop, East, 5, 1000, 1000, 5, True, False, False, True, South
11, 9, 10, 5, 3, 1, 5, 1, 14, 8, 1, 0, 1, 1, North, Stop, Stop, East, 5, 1000, 1000, 5, True, False, False, True, East
12, 9, 10, 5, 3, 1, 5, 1, 15, 8, 0, 1, 1, 1, North, Stop, Stop, East, 6, 1000, 1000, 5, True, False, False, True, East
12, 8, 10, 5, 3, 1, 5, 1, 16, 8, 1, 1, 0, 1, North, Stop, Stop, East, 5, 1000, 1000, 5, True, False, False, True, South
13, 8, 10, 4, 3, 1, 5, 1, 17, 8, 1, 1, 1, 1, South, Stop, Stop, South, 7, 1000, 1000, 5, True, False, False, True, East
14, 8, 10, 4, 3, 1, 5, 1, 17, 7, 1, 1, 1, 1, South, Stop, Stop, North, 8, 1000, 1000, 3, True, False, False, True, East
15, 8, 10, 5, 3, 1, 5, 1, 17, 8, 1, 1, 1, 1, North, Stop, Stop, South, 8, 1000, 1000, 3, True, False, False, True, East
16, 8, 10, 4, 3, 1, 5, 1, 17, 7, 1, 1, 1, 1, South, Stop, Stop, South, 10, 1000, 1000, 2, True, False, False, True, East
17, 8, 11, 4, 3, 1, 5, 1, 17, 7, 1, 1, 1, 1, East, Stop, Stop, Stop, 10, 1000, 1000, 1000, True, False, False, False, East
17, 7, 11, 5, 3, 1, 5, 1, 7, 1, 1, 0, 1, 1, North, Stop, Stop, Stop, 8, 1000, 1000, 1000, True, False, False, False, South
16, 7, 12, 5, 3, 1, 5, 1, 7, 1, 1, 0, 1, 1, East, Stop, Stop, Stop, 6, 1000, 1000, 1000, True, False, False, False, West
15, 7, 13, 5, 3, 1, 5, 1, 7, 1, 1, 0, 1, 1, East, Stop, Stop, Stop, 4, 1000, 1000, 1000, True, False, False, False, West
14, 7, 13, 5, 3, 1, 5, 1, 7, 1, 1, 1, 1, 1, East, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, West
14, 6, 12, 5, 3, 1, 5, 1, 7, 1, 1, 1, 0, 0, West, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, South
14, 5, 11, 5, 3, 1, 5, 1, 7, 1, 1, 1, 1, 1, West, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, South
13, 5, 10, 5, 3, 1, 5, 1, 7, 1, 0, 1, 1, 1, West, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, West
12, 5, 9, 5, 3, 1, 5, 1, 7, 1, 0, 0, 1, 1, West, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, West
11, 5, 9, 6, 3, 1, 5, 1, 7, 1, 0, 1, 1, 1, North, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, West
10, 5, 9, 7, 3, 1, 5, 1, 7, 1, 1, 1, 1, 1, North, Stop, Stop, Stop, 3, 1000, 1000, 1000, True, False, False, False, West
9, 5, 9, 6, 3, 1, 5, 1, 7, 1, 1, 1, 1, 1, South, Stop, Stop, Stop, 1, 1000, 1000, 1000, True, False, False, False, West
1, 11, 6, 5, 6, 9, 8, 11, 14, 6, 0, 1, 0, 1, None, None, None, None, 11, 7, 7, 18, True, True, True, True, Stop
1, 11, 5, 5, 5, 9, 7, 11, 14, 6, 0, 1, 0, 1, West, West, West, Stop, 10, 6, 6, 18, True, True, True, True, Stop
2, 11, 4, 5, 5, 9, 8, 11, 14, 6, 0, 0, 1, 1, West, West, East, Stop, 8, 5, 6, 17, True, True, True, True, East
3, 11, 3, 5, 5, 9, 9, 11, 14, 6, 0, 0, 1, 1, West, West, East, Stop, 6, 4, 6, 16, True, True, True, True, East
4, 11, 3, 4, 6, 9, 10, 11, 14, 6, 0, 0, 1, 1, South, East, East, North, 8, 4, 6, 14, True, True, True, True, East
5, 11, 3, 5, 5, 9, 10, 11, 14, 7, 0, 1, 1, 1, North, West, East, East, 8, 2, 5, 14, True, True, True, True, East
6, 11, 4, 5, 5, 10, 11, 11, 15, 7, 0, 1, 1, 1, East, North, East, North, 8, 2, 5, 12, True, True, True, True, East
7, 11, 4, 4, 6, 10, 10, 11, 15, 8, 0, 0, 1, 1, South, East, West, North, 10, 2, 3, 11, True, True, True, True, East
8, 11, 4, 5, 5, 10, 10, 11, 15, 8, 0, 0, 1, 1, North, West, West, North, 10, 4, 2, 9, True, True, True, True, East
9, 11, 4, 5, 5, 11, 10, 10, 15, 9, 0, 0, 1, 1, North, North, South, West, 11, 4, 2, 7, True, True, True, True, East
10, 11, 4, 4, 6, 11, 5, 1, 14, 9, 0, 1, 1, 1, South, East, Stop, East, 13, 4, 1000, 7, True, True, False, True, East
11, 11, 4, 3, 6, 11, 5, 1, 15, 9, 0, 1, 1, 1, South, East, Stop, East, 15, 5, 1000, 7, True, True, False, True, East
11, 10, 3, 3, 5, 11, 5, 1, 16, 9, 1, 1, 1, 0, West, West, Stop, East, 15, 7, 1000, 6, True, True, False, True, South
11, 9, 2, 3, 4, 11, 5, 1, 16, 9, 1, 0, 1, 1, West, West, Stop, East, 15, 9, 1000, 6, True, True, False, True, South
10, 9, 3, 3, 4, 11, 5, 1, 17, 9, 1, 1, 1, 1, East, West, Stop, East, 13, 8, 1000, 8, True, True, False, True, West
9, 9, 2, 3, 3, 11, 5, 1, 18, 9, 0, 1, 1, 1, West, West, Stop, South, 13, 8, 1000, 10, True, True, False, True, West
8, 9, 2, 4, 4, 11, 5, 1, 18, 8, 0, 1, 1, 1, North, East, Stop, North, 11, 6, 1000, 10, True, True, False, True, West
7, 9, 2, 4, 5, 11, 5, 1, 18, 9, 0, 1, 1, 1, North, East, Stop, North, 10, 4, 1000, 12, True, True, False, True, West
6, 9, 2, 5, 5, 10, 5, 1, 18, 10, 1, 1, 1, 1, North, South, Stop, North, 8, 2, 1000, 13, True, True, False, True, West
6, 10, 1, 5, 5, 11, 5, 1, 18, 10, 1, 1, 1, 0, West, North, Stop, South, 10, 2, 1000, 13, True, True, False, True, North
6, 11, 1, 5, 5, 10, 5, 1, 18, 9, 0, 1, 1, 1, West, South, Stop, North, 11, 2, 1000, 13, True, True, False, True, North
5, 11, 1, 4, 6, 10, 5, 1, 18, 10, 0, 1, 1, 1, South, East, Stop, South, 11, 2, 1000, 15, True, True, False, True, West
5, 10, 1, 3, 6, 9, 5, 1, 18, 9, 1, 1, 0, 1, South, South, Stop, North, 11, 2, 1000, 13, True, True, False, True, South
5, 9, 2, 3, 6, 8, 5, 1, 18, 10, 1, 1, 1, 1, East, South, Stop, North, 9, 2, 1000, 14, True, True, False, True, South
6, 9, 1, 3, 5, 8, 5, 1, 18, 10, 1, 1, 1, 1, West, West, Stop, South, 11, 2, 1000, 12, True, True, False, True, East
7, 9, 1, 4, 5, 9, 5, 1, 18, 9, 0, 1, 1, 1, North, North, Stop, North, 11, 2, 1000, 12, True, True, False, True, East
6, 9, 1, 3, 5, 9, 5, 1, 18, 10, 1, 1, 1, 1, South, North, Stop, North, 11, 1, 1000, 13, True, True, False, True, South
5, 9, 1, 4, 3, 1, 5, 1, 18, 10, 1, 1, 1, 1, North, Stop, Stop, North, 9, 1000, 1000, 14, True, False, False, True, West
4, 9, 2, 4, 3, 1, 5, 1, 18, 10, 0, 1, 1, 1, East, Stop, Stop, North, 7, 1000, 1000, 16, True, False, False, True, West
4, 8, 2, 3, 3, 1, 5, 1, 18, 11, 1, 1, 1, 1, South, Stop, Stop, West, 7, 1000, 1000, 16, True, False, False, True, South
3, 8, 2, 3, 3, 1, 5, 1, 17, 11, 1, 1, 1, 1, South, Stop, Stop, East, 6, 1000, 1000, 18, True, False, False, True, West
2, 8, 3, 3, 3, 1, 5, 1, 18, 11, 1, 1, 1, 1, East, Stop, Stop, East, 6, 1000, 1000, 19, True, False, False, True, West
1, 8, 2, 3, 3, 1, 5, 1, 18, 11, 1, 1, 0, 1, West, Stop, Stop, East, 6, 1000, 1000, 20, True, False, False, True, West
1, 7, 2, 4, 3, 1, 5, 1, 18, 11, 1, 1, 0, 1, North, Stop, Stop, South, 4, 1000, 1000, 20, True, False, False, True, South
1, 6, 2, 4, 3, 1, 5, 1, 18, 10, 1, 1, 0, 0, North, Stop, Stop, South, 3, 1000, 1000, 20, True, False, False, True, South
1, 5, 3, 4, 3, 1, 5, 1, 18, 9, 1, 1, 0, 1, East, Stop, Stop, West, 3, 1000, 1000, 20, True, False, False, True, South
