@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R15-22

@attribute pacmanPosX numeric
@attribute pacmanPosY numeric
@attribute Ghost_1_PosX numeric
@attribute Ghost_1_PosY numeric
@attribute Ghost_2_PosX numeric
@attribute Ghost_2_PosY numeric
@attribute Ghost_3_PosX numeric
@attribute Ghost_3_PosY numeric
@attribute Ghost_4_PosX numeric
@attribute Ghost_4_PosY numeric
@attribute legalNorth numeric
@attribute legalSouth numeric
@attribute legalWest numeric
@attribute legalEast numeric
@attribute livingGhost_1 {True,False}
@attribute livingGhost_2 {True,False}
@attribute livingGhost_3 {True,False}
@attribute livingGhost_4 {True,False}
@attribute currentMove {Stop,North,South,West,East}

@data
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
1,11,6,4,6,9,7,11,14,6,0,1,0,1,True,True,True,True,Stop
2,11,7,4,6,10,7,11,14,7,0,0,1,1,True,True,True,True,East
3,11,7,3,6,11,7,11,14,8,0,0,1,1,True,True,True,True,East
4,11,7,4,6,11,6,11,13,8,0,0,1,1,True,True,True,True,East
5,11,7,5,3,1,6,11,13,9,0,1,1,1,True,False,True,True,East
6,11,7,4,3,1,5,1,14,9,0,1,1,1,True,False,False,True,East
7,11,7,3,3,1,5,1,13,9,0,0,1,1,True,False,False,True,East
8,11,7,3,3,1,5,1,13,9,0,0,1,1,True,False,False,True,East
9,11,8,3,3,1,5,1,14,9,0,0,1,1,True,False,False,True,East
10,11,9,3,3,1,5,1,13,9,0,1,1,1,True,False,False,True,East
10,10,9,4,3,1,5,1,13,9,1,1,0,1,True,False,False,True,South
10,9,10,4,3,1,5,1,13,8,1,1,1,1,True,False,False,True,South
11,9,10,5,3,1,5,1,14,8,1,0,1,1,True,False,False,True,East
12,9,10,5,3,1,5,1,15,8,0,1,1,1,True,False,False,True,East
12,8,10,5,3,1,5,1,16,8,1,1,0,1,True,False,False,True,South
13,8,10,4,3,1,5,1,17,8,1,1,1,1,True,False,False,True,East
14,8,10,4,3,1,5,1,17,7,1,1,1,1,True,False,False,True,East
15,8,10,5,3,1,5,1,17,8,1,1,1,1,True,False,False,True,East
16,8,10,4,3,1,5,1,17,7,1,1,1,1,True,False,False,True,East
17,8,11,4,3,1,5,1,17,7,1,1,1,1,True,False,False,False,East
17,7,11,5,3,1,5,1,7,1,1,0,1,1,True,False,False,False,South
16,7,12,5,3,1,5,1,7,1,1,0,1,1,True,False,False,False,West
15,7,13,5,3,1,5,1,7,1,1,0,1,1,True,False,False,False,West
14,7,13,5,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
14,6,12,5,3,1,5,1,7,1,1,1,0,0,True,False,False,False,South
14,5,11,5,3,1,5,1,7,1,1,1,1,1,True,False,False,False,South
13,5,10,5,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
12,5,9,5,3,1,5,1,7,1,0,0,1,1,True,False,False,False,West
11,5,9,6,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
10,5,9,7,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
9,5,9,6,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
1,11,5,5,5,9,7,11,14,6,0,1,0,1,True,True,True,True,Stop
2,11,4,5,5,9,8,11,14,6,0,0,1,1,True,True,True,True,East
3,11,3,5,5,9,9,11,14,6,0,0,1,1,True,True,True,True,East
4,11,3,4,6,9,10,11,14,6,0,0,1,1,True,True,True,True,East
5,11,3,5,5,9,10,11,14,7,0,1,1,1,True,True,True,True,East
6,11,4,5,5,10,11,11,15,7,0,1,1,1,True,True,True,True,East
7,11,4,4,6,10,10,11,15,8,0,0,1,1,True,True,True,True,East
8,11,4,5,5,10,10,11,15,8,0,0,1,1,True,True,True,True,East
9,11,4,5,5,11,10,10,15,9,0,0,1,1,True,True,True,True,East
10,11,4,4,6,11,5,1,14,9,0,1,1,1,True,True,False,True,East
11,11,4,3,6,11,5,1,15,9,0,1,1,1,True,True,False,True,East
11,10,3,3,5,11,5,1,16,9,1,1,1,0,True,True,False,True,South
11,9,2,3,4,11,5,1,16,9,1,0,1,1,True,True,False,True,South
10,9,3,3,4,11,5,1,17,9,1,1,1,1,True,True,False,True,West
9,9,2,3,3,11,5,1,18,9,0,1,1,1,True,True,False,True,West
8,9,2,4,4,11,5,1,18,8,0,1,1,1,True,True,False,True,West
7,9,2,4,5,11,5,1,18,9,0,1,1,1,True,True,False,True,West
6,9,2,5,5,10,5,1,18,10,1,1,1,1,True,True,False,True,West
6,10,1,5,5,11,5,1,18,10,1,1,1,0,True,True,False,True,North
6,11,1,5,5,10,5,1,18,9,0,1,1,1,True,True,False,True,North
5,11,1,4,6,10,5,1,18,10,0,1,1,1,True,True,False,True,West
5,10,1,3,6,9,5,1,18,9,1,1,0,1,True,True,False,True,South
5,9,2,3,6,8,5,1,18,10,1,1,1,1,True,True,False,True,South
6,9,1,3,5,8,5,1,18,10,1,1,1,1,True,True,False,True,East
7,9,1,4,5,9,5,1,18,9,0,1,1,1,True,True,False,True,East
6,9,1,3,5,9,5,1,18,10,1,1,1,1,True,True,False,True,South
5,9,1,4,3,1,5,1,18,10,1,1,1,1,True,False,False,True,West
4,9,2,4,3,1,5,1,18,10,0,1,1,1,True,False,False,True,West
4,8,2,3,3,1,5,1,18,11,1,1,1,1,True,False,False,True,South
3,8,2,3,3,1,5,1,17,11,1,1,1,1,True,False,False,True,West
