(12, 10), [(5, 6), (5, 12), (13, 6), (13, 12)], [False, True, True, True, True]
(13, 10), [(4, 6), (6, 12), (12, 6), (13, 12)], [False, True, True, True, True]
(13, 11), [(3, 6), (6, 13), (12, 7), (14, 12)], [False, True, True, True, True]
(13, 12), [(3, 5), (7, 13), (12, 7), (14, 11)], [False, True, True, True, True]
(14, 12), [(3, 6), (8, 13), (12, 7), (7, 1)], [False, True, True, True, False]
(13, 12), [(2, 6), (8, 12), (12, 8), (7, 1)], [False, True, True, True, False]
(12, 12), [(1, 6), (7, 12), (12, 7), (7, 1)], [False, True, True, True, False]
(11, 12), [(1, 7), (7, 11), (12, 6), (7, 1)], [False, True, True, True, False]
(10, 12), [(2, 7), (7, 11), (12, 6), (7, 1)], [False, True, True, True, False]
(9, 12), [(2, 8), (7, 10), (12, 5), (7, 1)], [False, True, True, True, False]
(8, 12), [(1, 8), (7, 11), (12, 6), (7, 1)], [False, True, True, True, False]
(8, 13), [(1, 9), (8, 11), (12, 6), (7, 1)], [False, True, True, True, False]
(8, 12), [(1, 8), (9, 11), (11, 6), (7, 1)], [False, True, True, True, False]
(8, 11), [(1, 9), (3, 1), (11, 7), (7, 1)], [False, True, False, True, False]
(9, 11), [(1, 8), (3, 1), (11, 7), (7, 1)], [False, True, False, True, False]
(10, 11), [(1, 8), (3, 1), (11, 8), (7, 1)], [False, True, False, True, False]
(11, 11), [(1, 7), (3, 1), (11, 7), (7, 1)], [False, True, False, True, False]
(11, 10), [(1, 6), (3, 1), (11, 8), (7, 1)], [False, True, False, True, False]
(11, 9), [(1, 5), (3, 1), (11, 8), (7, 1)], [False, True, False, True, False]
(11, 8), [(1, 6), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(10, 8), [(1, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(9, 8), [(2, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(8, 8), [(2, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(7, 8), [(2, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(6, 8), [(3, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(5, 8), [(2, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(4, 8), [(2, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(3, 8), [(1, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(2, 8), [(1, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(1, 8), [(2, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(1, 7), [(2, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(1, 6), [(2, 9), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(2, 6), [(3, 9), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(2, 7), [(3, 8), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(2, 8), [(3, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(2, 9), [(2, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
(2, 8), [(1, 7), (3, 1), (5, 1), (7, 1)], [False, True, False, False, False]
