@relation InstanceResultListener

@attribute Key_Dataset {all_data_pacman,all_data_pacman-weka.filters.unsupervised.attribute.Remove-R3-10,all_data_pacman-weka.filters.unsupervised.attribute.Remove-R15-22}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 94\nSize of the tree: 171\n','Number of leaves: 129\nSize of the tree: 225\n','Number of leaves: 133\nSize of the tree: 237\n','Number of leaves: 107\nSize of the tree: 197\n','Number of leaves: 128\nSize of the tree: 227\n','Number of leaves: 109\nSize of the tree: 189\n','Number of leaves: 114\nSize of the tree: 207\n','Number of leaves: 78\nSize of the tree: 151\n','Number of leaves: 106\nSize of the tree: 183\n','Number of leaves: 120\nSize of the tree: 207\n','Number of leaves: 96\nSize of the tree: 175\n','Number of leaves: 129\nSize of the tree: 229\n','Number of leaves: 123\nSize of the tree: 217\n','Number of leaves: 131\nSize of the tree: 229\n','Number of leaves: 143\nSize of the tree: 237\n','Number of leaves: 111\nSize of the tree: 197\n','Number of leaves: 135\nSize of the tree: 237\n','Number of leaves: 116\nSize of the tree: 207\n','Number of leaves: 120\nSize of the tree: 219\n','Number of leaves: 117\nSize of the tree: 205\n','Number of leaves: 102\nSize of the tree: 191\n','Number of leaves: 119\nSize of the tree: 209\n','Number of leaves: 99\nSize of the tree: 185\n','Number of leaves: 125\nSize of the tree: 221\n','Number of leaves: 117\nSize of the tree: 209\n','Number of leaves: 126\nSize of the tree: 219\n','Number of leaves: 141\nSize of the tree: 237\n','Number of leaves: 99\nSize of the tree: 181\n','Number of leaves: 121\nSize of the tree: 213\n','Number of leaves: 117\nSize of the tree: 213\n','Number of leaves: 121\nSize of the tree: 209\n','Number of leaves: 100\nSize of the tree: 179\n','Number of leaves: 124\nSize of the tree: 219\n','Number of leaves: 126\nSize of the tree: 223\n','Number of leaves: 151\nSize of the tree: 249\n','Number of leaves: 106\nSize of the tree: 191\n','Number of leaves: 119\nSize of the tree: 205\n','Number of leaves: 104\nSize of the tree: 187\n','Number of leaves: 109\nSize of the tree: 201\n','Number of leaves: 109\nSize of the tree: 193\n','Number of leaves: 103\nSize of the tree: 189\n','Number of leaves: 119\nSize of the tree: 213\n','Number of leaves: 116\nSize of the tree: 203\n','Number of leaves: 120\nSize of the tree: 215\n','Number of leaves: 121\nSize of the tree: 217\n','Number of leaves: 122\nSize of the tree: 219\n','Number of leaves: 106\nSize of the tree: 195\n','Number of leaves: 139\nSize of the tree: 237\n','Number of leaves: 106\nSize of the tree: 187\n','Number of leaves: 104\nSize of the tree: 183\n','Number of leaves: 108\nSize of the tree: 199\n','Number of leaves: 103\nSize of the tree: 185\n','Number of leaves: 108\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 177\n','Number of leaves: 118\nSize of the tree: 207\n','Number of leaves: 108\nSize of the tree: 191\n','Number of leaves: 118\nSize of the tree: 203\n','Number of leaves: 124\nSize of the tree: 227\n','Number of leaves: 113\nSize of the tree: 197\n','Number of leaves: 127\nSize of the tree: 217\n','Number of leaves: 107\nSize of the tree: 189\n','Number of leaves: 116\nSize of the tree: 215\n','Number of leaves: 141\nSize of the tree: 241\n','Number of leaves: 110\nSize of the tree: 195\n','Number of leaves: 132\nSize of the tree: 231\n','Number of leaves: 104\nSize of the tree: 191\n','Number of leaves: 105\nSize of the tree: 193\n','Number of leaves: 123\nSize of the tree: 225\n','Number of leaves: 127\nSize of the tree: 221\n','Number of leaves: 107\nSize of the tree: 193\n','Number of leaves: 86\nSize of the tree: 159\n','Number of leaves: 110\nSize of the tree: 191\n','Number of leaves: 102\nSize of the tree: 183\n','Number of leaves: 111\nSize of the tree: 193\n','Number of leaves: 129\nSize of the tree: 209\n','Number of leaves: 94\nSize of the tree: 155\n','Number of leaves: 99\nSize of the tree: 161\n','Number of leaves: 107\nSize of the tree: 181\n','Number of leaves: 87\nSize of the tree: 141\n','Number of leaves: 118\nSize of the tree: 191\n','Number of leaves: 70\nSize of the tree: 123\n','Number of leaves: 113\nSize of the tree: 181\n','Number of leaves: 89\nSize of the tree: 149\n','Number of leaves: 108\nSize of the tree: 183\n','Number of leaves: 117\nSize of the tree: 193\n','Number of leaves: 111\nSize of the tree: 185\n','Number of leaves: 100\nSize of the tree: 171\n','Number of leaves: 104\nSize of the tree: 171\n','Number of leaves: 110\nSize of the tree: 183\n','Number of leaves: 117\nSize of the tree: 185\n','Number of leaves: 91\nSize of the tree: 153\n','Number of leaves: 90\nSize of the tree: 147\n','Number of leaves: 110\nSize of the tree: 179\n','Number of leaves: 68\nSize of the tree: 115\n','Number of leaves: 102\nSize of the tree: 171\n','Number of leaves: 79\nSize of the tree: 133\n','Number of leaves: 99\nSize of the tree: 165\n','Number of leaves: 116\nSize of the tree: 191\n','Number of leaves: 104\nSize of the tree: 167\n','Number of leaves: 90\nSize of the tree: 151\n','Number of leaves: 98\nSize of the tree: 167\n','Number of leaves: 118\nSize of the tree: 195\n','Number of leaves: 103\nSize of the tree: 173\n','Number of leaves: 96\nSize of the tree: 159\n','Number of leaves: 91\nSize of the tree: 157\n','Number of leaves: 111\nSize of the tree: 189\n','Number of leaves: 92\nSize of the tree: 159\n','Number of leaves: 103\nSize of the tree: 169\n','Number of leaves: 113\nSize of the tree: 189\n','Number of leaves: 121\nSize of the tree: 197\n','Number of leaves: 81\nSize of the tree: 137\n','Number of leaves: 126\nSize of the tree: 207\n','Number of leaves: 77\nSize of the tree: 137\n','Number of leaves: 93\nSize of the tree: 157\n','Number of leaves: 115\nSize of the tree: 185\n','Number of leaves: 95\nSize of the tree: 153\n','Number of leaves: 97\nSize of the tree: 157\n','Number of leaves: 121\nSize of the tree: 201\n','Number of leaves: 75\nSize of the tree: 129\n','Number of leaves: 115\nSize of the tree: 189\n','Number of leaves: 108\nSize of the tree: 175\n','Number of leaves: 92\nSize of the tree: 155\n','Number of leaves: 98\nSize of the tree: 163\n','Number of leaves: 85\nSize of the tree: 145\n','Number of leaves: 105\nSize of the tree: 177\n','Number of leaves: 120\nSize of the tree: 195\n','Number of leaves: 111\nSize of the tree: 181\n','Number of leaves: 114\nSize of the tree: 195\n','Number of leaves: 95\nSize of the tree: 157\n','Number of leaves: 87\nSize of the tree: 149\n','Number of leaves: 101\nSize of the tree: 169\n','Number of leaves: 128\nSize of the tree: 211\n','Number of leaves: 79\nSize of the tree: 137\n','Number of leaves: 100\nSize of the tree: 167\n','Number of leaves: 127\nSize of the tree: 205\n','Number of leaves: 82\nSize of the tree: 139\n','Number of leaves: 112\nSize of the tree: 187\n','Number of leaves: 110\nSize of the tree: 187\n','Number of leaves: 109\nSize of the tree: 185\n','Number of leaves: 114\nSize of the tree: 187\n','Number of leaves: 83\nSize of the tree: 145\n','Number of leaves: 110\nSize of the tree: 175\n','Number of leaves: 102\nSize of the tree: 175\n','Number of leaves: 97\nSize of the tree: 153\n','Number of leaves: 112\nSize of the tree: 183\n','Number of leaves: 135\nSize of the tree: 213\n','Number of leaves: 75\nSize of the tree: 133\n','Number of leaves: 100\nSize of the tree: 163\n','Number of leaves: 102\nSize of the tree: 167\n','Number of leaves: 97\nSize of the tree: 169\n','Number of leaves: 102\nSize of the tree: 163\n','Number of leaves: 113\nSize of the tree: 185\n','Number of leaves: 95\nSize of the tree: 161\n','Number of leaves: 112\nSize of the tree: 223\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 110\nSize of the tree: 219\n','Number of rules: 97\n','Number of rules: 102\n','Number of rules: 105\n','Number of rules: 110\n','Number of rules: 114\n','Number of rules: 107\n','Number of rules: 98\n','Number of rules: 101\n','Number of rules: 104\n','Number of rules: 111\n','Number of rules: 95\n','Number of rules: 106\n','Number of rules: 99\n','Number of rules: 94\n','Number of rules: 108\n','Number of rules: 125\n','Number of rules: 89\n','Number of rules: 112\n','Number of rules: 109\n','Number of rules: 100\n','Number of rules: 113\n','Number of rules: 117\n','Number of rules: 115\n','Number of rules: 103\n','Number of rules: 91\n','Number of rules: 96\n','Number of rules: 86\n','Number of rules: 126\n','Number of rules: 87\n','Number of rules: 93\n','Number of rules: 120\n','Number of rules: 116\n','Number of rules: 121\n','Number of rules: 85\n','Number of rules: 90\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

all_data_pacman,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,91,30,0,75.206612,24.793388,0,0.6366,0.121604,0.283487,43.831292,76.184202,234.834818,11883.857712,-11649.022894,1.940784,98.2137,-96.272916,147.203654,1.216559,62.683913,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.752066,0.122284,0.877716,0.247934,0.749011,0.752066,0.748178,0.638058,0.863414,0.743561,0.755777,0.752066,0.182,0.005,0.176352,0.004195,176.352,4.195,46547,269249,33314,90.909091,42.31405,'Number of leaves: 94\nSize of the tree: 171\n',171,94,94
all_data_pacman,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,89,32,0,73.553719,26.446281,0,0.621468,0.123607,0.295762,44.553322,79.482768,234.834818,11893.429434,-11658.594616,1.940784,98.292805,-96.352022,146.605946,1.211619,62.429391,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.735537,0.114427,0.885573,0.264463,0.745377,0.735537,0.733987,0.619269,0.849055,0.712128,0.745231,0.735537,0.124,0.003,0.122962,0.002233,122.962,2.233,59615,269249,33314,88.429752,32.561983,'Number of leaves: 129\nSize of the tree: 225\n',225,129,129
all_data_pacman,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,87,34,0,71.900826,28.099174,0,0.58524,0.133566,0.315278,48.14298,84.7276,234.834818,21542.686739,-21307.851921,1.940784,178.038733,-176.09795,134.187176,1.108985,57.141091,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.719008,0.132237,0.867763,0.280992,0.708531,0.719008,0.710928,0.594222,0.805056,0.627006,0.700101,0.719008,0.117,0.003,0.09762,0.002329,97.62,2.329,62519,269249,33314,79.338843,32.066116,'Number of leaves: 133\nSize of the tree: 237\n',237,133,133
all_data_pacman,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,84,37,0,69.421488,30.578512,0,0.55961,0.139551,0.308756,50.299883,82.974778,234.834818,14046.149102,-13811.314284,1.940784,116.083877,-114.143093,135.429768,1.119254,57.670225,0.75,3,0,0,1,117,0.25,1,1,0.75,0.857143,0.862348,1,1,0.694215,0.130228,0.869772,0.305785,0.703477,0.694215,0.696135,0.565143,0.839623,0.68075,0.691256,0.694215,0.094,0.001,0.088771,0.000904,88.771,0.904,52839,269249,33314,88.429752,38.842975,'Number of leaves: 107\nSize of the tree: 197\n',197,107,107
all_data_pacman,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,85,36,0,70.247934,29.752066,0,0.568585,0.137917,0.310053,49.487497,82.902258,238.589706,16182.73488,-15944.145174,1.971816,133.741611,-131.769795,138.148327,1.141722,57.902048,1,5,0,0,1,116,0,0,1,1,1,1,1,1,0.702479,0.133122,0.866878,0.297521,0.696194,0.702479,0.697364,0.573563,0.829278,0.653908,0.693534,0.702479,0.083,0.001,0.073105,0.001178,73.105,1.178,60099,269249,33314,85.950413,35.371901,'Number of leaves: 128\nSize of the tree: 227\n',227,128,128
all_data_pacman,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,82,38,0,68.333333,31.666667,0,0.544547,0.145063,0.322699,52.201071,86.561631,233.715376,10850.457931,-10616.742555,1.947628,90.420483,-88.472855,127.259033,1.060492,54.450433,1,4,0,0,1,116,0,0,1,1,1,1,1,1,0.683333,0.133963,0.866037,0.316667,0.690789,0.683333,0.686137,0.552607,0.828226,0.650005,0.679951,0.683333,0.069,0.001,0.068805,0.000548,68.805,0.548,50903,269494,33069,85.833333,36.5,'Number of leaves: 109\nSize of the tree: 189\n',189,109,109
all_data_pacman,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,91,29,0,75.833333,24.166667,0,0.652174,0.122871,0.285517,44.215248,76.587907,233.715376,12961.3009,-12727.585524,1.947628,108.010841,-106.063213,148.750518,1.239588,63.646013,1,4,0,0,1,116,0,0,1,1,1,1,1,1,0.758333,0.106463,0.893537,0.241667,0.766174,0.758333,0.758884,0.65637,0.858195,0.714776,0.769009,0.758333,0.05,0.001,0.04939,0.000883,49.39,0.883,55259,269494,33069,85.833333,35,'Number of leaves: 114\nSize of the tree: 207\n',207,114,114
all_data_pacman,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,90,30,0,75,25,0,0.64511,0.124872,0.277355,44.876984,74.290169,234.801288,8678.405723,-8443.604435,1.956677,72.320048,-70.36337,147.33166,1.227764,62.747381,1,4,0,0,1,116,0,0,1,1,1,1,1,1,0.75,0.100894,0.899106,0.25,0.764477,0.75,0.753115,0.648748,0.86413,0.733725,0.760713,0.75,0.07,0.001,0.070103,0.000872,70.103,0.872,41707,269494,33069,90,39.5,'Number of leaves: 78\nSize of the tree: 151\n',151,78,78
all_data_pacman,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,84,36,0,70,30,0,0.555144,0.139798,0.309166,50.430185,83.161348,232.715215,10838.774134,-10606.058919,1.939293,90.323118,-88.383824,128.437713,1.070314,55.190939,1,4,0,0,1,116,0,0,1,1,1,1,1,1,0.7,0.152094,0.847906,0.3,0.706784,0.7,0.698471,0.566535,0.83041,0.660441,0.687322,0.7,0.045,0.001,0.036926,0.000706,36.926,0.706,49451,269494,33069,89.166667,39.166667,'Number of leaves: 106\nSize of the tree: 183\n',183,106,106
all_data_pacman,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,85,35,0,70.833333,29.166667,0,0.573474,0.138504,0.307824,49.963382,82.800346,232.715215,17247.562524,-17014.847309,1.939293,143.729688,-141.790394,132.198978,1.101658,56.807192,0.75,3,0,0,1,116,0.25,1,1,0.75,0.857143,0.862316,0.997845,0.916667,0.708333,0.142448,0.857552,0.291667,0.712952,0.708333,0.700707,0.572037,0.828061,0.664063,0.680308,0.708333,0.031,0,0.030808,0.000456,30.808,0.456,55259,269494,33069,86.666667,36.833333,'Number of leaves: 120\nSize of the tree: 207\n',207,120,120
all_data_pacman,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,81,40,0,66.942149,33.057851,0,0.524371,0.153868,0.326875,55.254261,87.477067,236.920891,17280.557194,-17043.636303,1.958024,142.814522,-140.856498,122.631908,1.013487,51.760699,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.669421,0.139934,0.860066,0.330579,0.668898,0.669421,0.667612,0.531851,0.80347,0.634788,0.66453,0.669421,0.034,0.001,0.033037,0.000952,33.037,0.952,47515,269249,33314,80.991736,41.157025,'Number of leaves: 96\nSize of the tree: 175\n',175,96,96
all_data_pacman,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,87,34,0,71.900826,28.099174,0,0.585324,0.134139,0.317307,48.349339,85.272874,234.834818,24747.010573,-24512.175755,1.940784,204.520749,-202.579965,133.413218,1.102589,56.811515,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.719008,0.139576,0.860424,0.280992,0.716848,0.719008,0.715372,0.591312,0.780361,0.608009,0.705948,0.719008,0.039,0.001,0.038376,0.000557,38.376,0.557,60583,269249,33314,80.165289,33.553719,'Number of leaves: 129\nSize of the tree: 229\n',229,129,129
all_data_pacman,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,86,35,0,71.07438,28.92562,0,0.584845,0.134611,0.314633,48.519345,84.554385,234.834818,21540.745956,-21305.911138,1.940784,178.022694,-176.08191,135.339401,1.118507,57.631744,0.75,3,0,0,1,117,0.25,1,1,0.75,0.857143,0.862348,0.875,0.758264,0.710744,0.118905,0.881095,0.289256,0.730616,0.710744,0.715399,0.595907,0.816208,0.668363,0.705747,0.710744,0.037,0.001,0.036604,0.000519,36.604,0.519,57679,269249,33314,82.644628,35.702479,'Number of leaves: 123\nSize of the tree: 217\n',217,123,123
all_data_pacman,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,85,36,0,70.247934,29.752066,0,0.570626,0.133426,0.31009,48.092486,83.333512,234.834818,18322.984919,-18088.150101,1.940784,151.429627,-149.488844,140.729433,1.163053,59.926988,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.702479,0.142056,0.857944,0.297521,0.705632,0.702479,0.700372,0.560441,0.831067,0.690669,0.72082,0.702479,0.037,0,0.036115,0.000541,36.115,0.541,60583,269249,33314,85.123967,34.710744,'Number of leaves: 131\nSize of the tree: 229\n',229,131,131
all_data_pacman,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1084,121,96,25,0,79.338843,20.661157,0,0.695552,0.107181,0.26334,38.632599,70.769887,234.834818,10800.268016,-10565.433199,1.940784,89.258413,-87.31763,156.936008,1.296992,66.828254,1,4,0,0,1,117,0,0,1,1,1,1,1,1,0.793388,0.108198,0.891802,0.206612,0.789274,0.793388,0.788554,0.69504,0.881322,0.769851,0.783885,0.793388,0.032,0.001,0.029015,0.00029,29.015,0.29,62519,269249,33314,90.082645,35.702479,'Number of leaves: 143\nSize of the tree: 237\n',237,143,143
all_data_pacman,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,82,38,0,68.333333,31.666667,0,0.540044,0.142814,0.322211,51.518212,86.670304,232.715215,16198.12259,-15965.407375,1.939293,134.984355,-133.045061,125.219326,1.043494,53.807967,0.75,3,0.008621,1,0.991379,115,0.25,1,0.75,0.75,0.75,0.741379,0.873922,0.758333,0.683333,0.13155,0.86845,0.316667,0.68262,0.683333,0.681959,0.553356,0.815243,0.626178,0.635023,0.683333,0.021,0,0.020913,0.000282,20.913,0.282,57679,269494,33069,82.5,33.333333,'Number of leaves: 123\nSize of the tree: 217\n',217,123,123
all_data_pacman,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,84,36,0,70,30,0,0.561065,0.143429,0.313122,51.739837,84.225437,232.715215,14052.429899,-13819.714683,1.939293,117.103582,-115.164289,129.238549,1.076988,55.535066,1,4,0,0,1,116,0,0,1,1,1,1,1,1,0.7,0.14441,0.85559,0.3,0.697532,0.7,0.697867,0.560667,0.812987,0.662063,0.697034,0.7,0.023,0.001,0.023144,0.000547,23.144,0.547,52839,269494,33069,85,38.333333,'Number of leaves: 111\nSize of the tree: 197\n',197,111,111
all_data_pacman,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,80,40,0,66.666667,33.333333,0,0.510204,0.147808,0.328826,53.077802,87.998967,236.470103,17269.511419,-17033.041315,1.970584,143.912595,-141.942011,125.331253,1.044427,53.000887,1,5,0,0,1,115,0,0,1,1,1,1,1,1,0.666667,0.153608,0.846392,0.333333,0.655337,0.666667,0.65752,0.524007,0.83345,0.665319,0.645134,0.666667,0.029,0.001,0.029493,0.000547,29.493,0.547,62519,269494,33069,83.333333,35.333333,'Number of leaves: 135\nSize of the tree: 237\n',237,135,135
all_data_pacman,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,84,36,0,70,30,0,0.572108,0.141043,0.317773,50.754385,85.240414,233.715376,18333.868737,-18100.15336,1.947628,152.782239,-150.834611,132.175722,1.101464,56.554141,1,4,0.017241,2,0.982759,114,0,0,0.666667,1,0.8,0.809427,1,1,0.7,0.116073,0.883927,0.3,0.700952,0.7,0.697218,0.578343,0.819736,0.673111,0.660191,0.7,0.023,0,0.022077,0.000293,22.077,0.293,55259,269494,33069,84.166667,38.166667,'Number of leaves: 116\nSize of the tree: 207\n',207,116,116
all_data_pacman,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220420.1543,1085,120,93,27,0,77.5,22.5,0,0.670832,0.115813,0.277353,41.675248,74.398073,233.715376,12948.475981,-12714.760605,1.947628,107.903967,-105.956338,152.177937,1.268149,65.112506,1,4,0,0,1,116,0,0,1,1,1,1,1,1,0.775,0.110038,0.889962,0.225,0.775646,0.775,0.772256,0.676995,0.861327,0.708933,0.776029,0.775,0.034,0.001,0.034355,0.000517,34.355,0.517,58163,269494,33069,89.166667,37,'Number of leaves: 120\nSize of the tree: 219\n',219,120,120
